Player,Comp,Age,Min,Gls,Ast,dribbles_successful,key_passes,duels_won,duels_total
Jordan Ayew,eng Premier League,32.0,1638,5,0,0,0,0,1
Neil El Aynaoui,fr Ligue 1,23.0,1588,8,1,0,0,0,1
Ayman Azhil,de Bundesliga,23.0,24,0,0,0,0,0,1
Adam Aznou,es La Liga,18.0,876,0,0,0,0,0,1
Adam Aznou,de Bundesliga,18.0,17,0,0,0,0,0,1
César Azpilicueta,es La Liga,34.0,875,1,0,0,0,0,1
Paulo Azzi,it Serie A,30.0,426,0,0,0,0,0,1
Oussama El Azzouzi,it Serie A,23.0,19,0,0,0,0,0,1
Papa Ba,es La Liga,19.0,48,0,0,0,0,0,1
Shavy Babicka,fr Ligue 1,24.0,1186,4,2,0,0,0,1
Jacopo Bacci,it Serie A,19.0,31,0,0,0,0,0,1
Aliou Badara Baldé,de Bundesliga,21.0,91,0,0,0,0,0,1
Loïc Bade,es La Liga,24.0,2686,1,1,0,0,0,1
Milan Badelj,it Serie A,35.0,1472,1,0,0,0,0,1
Benoît Badiashile,eng Premier League,23.0,334,0,0,0,0,0,1
Alex Baena,es La Liga,23.0,2595,7,9,0,0,0,1
Juma Bah,es La Liga,18.0,864,0,0,0,0,0,1
Juma Bah,fr Ligue 1,18.0,686,0,0,0,0,0,1
Leon Bailey,eng Premier League,26.0,1139,1,2,0,0,0,1
Eric Bailly,es La Liga,30.0,617,0,0,0,0,0,1
Theo Bair,fr Ligue 1,24.0,939,2,1,0,0,0,1
Stefan Bajcetic,es La Liga,19.0,969,1,0,0,0,0,1
Cédric Bakambu,es La Liga,33.0,710,2,2,0,0,0,1
Mitchel Bakker,it Serie A,24.0,22,0,0,0,0,0,1
Mitchel Bakker,fr Ligue 1,24.0,1139,3,2,0,0,0,1
Darryl Bakola,fr Ligue 1,16.0,14,0,0,0,0,0,1
Ridle Baku,de Bundesliga,26.0,1170,2,1,0,0,0,1
Ridle Baku,de Bundesliga,26.0,1275,2,3,0,0,0,1
Dilane Bakwa,fr Ligue 1,21.0,2497,6,8,0,0,0,1
Tommaso Baldanzi,it Serie A,21.0,832,1,1,0,0,0,1
Alejandro Balde,es La Liga,20.0,2284,0,4,0,0,0,1
Keita Baldé,it Serie A,29.0,638,2,0,0,0,0,1
Carlos Baleba,eng Premier League,20.0,2661,3,1,0,0,0,1
Leonardo Balerdi,fr Ligue 1,25.0,2273,0,0,0,0,0,1
Iván Balliu,es La Liga,32.0,1200,0,0,0,0,0,1
Fodé Ballo-Touré,fr Ligue 1,27.0,589,0,0,0,0,0,1
Botond Balogh,it Serie A,22.0,2053,0,1,0,0,0,1
